,Session,Cluster,Peak Channel,Brain Region,A/P,D/V,L/R
0,0,0,224,ACA,4090.0,2445.4,5012.4
2,0,2,172,ACA,4172.1,2979.3,5018.3
5,0,7,241,ACA,4069.2,2267.4,5063.3
16,0,23,225,ACA,4092.9,2425.6,5060.4
18,0,26,256,ACA,4042.5,2129.0,5018.2
20,0,28,259,ACA,4036.6,2089.4,5019.0
24,0,35,211,ACA,4112.7,2583.8,5025.7
31,0,47,208,ACA,4117.7,2603.6,5041.2
36,0,53,214,ACA,4110.7,2544.3,5058.2
39,0,59,206,ACA,4122.6,2623.4,5056.7
42,0,67,245,ACA,4063.2,2227.9,5064.0
43,0,68,196,ACA,4135.5,2722.2,5039.0
46,0,72,222,ACA,4098.8,2465.2,5059.6
47,0,73,210,ACA,4116.6,2583.8,5057.4
51,0,79,235,ACA,4076.1,2326.7,5046.3
57,0,86,196,ACA,4135.5,2722.2,5039.0
58,0,87,192,ACA,4141.4,2761.8,5038.2
61,0,90,228,ACA,4084.0,2405.8,5013.1
69,0,100,221,ACA,4095.9,2484.9,5011.6
73,0,106,235,ACA,4076.1,2326.7,5046.3
74,0,107,248,ACA,4054.4,2208.1,5016.8
77,0,110,212,ACA,4111.7,2564.0,5041.9
80,0,115,231,ACA,4082.0,2366.3,5045.6
82,0,119,228,ACA,4084.0,2405.8,5013.1
90,0,132,230,ACA,4083.0,2386.1,5029.3
91,0,133,224,ACA,4090.0,2445.4,5012.4
92,0,134,221,ACA,4095.9,2484.9,5011.6
95,0,141,225,ACA,4092.9,2425.6,5060.4
96,0,142,259,ACA,4036.6,2089.4,5019.0
98,0,146,225,ACA,4092.9,2425.6,5060.4
103,0,162,195,ACA,4136.5,2742.0,5022.7
105,0,168,231,ACA,4082.0,2366.3,5045.6
106,0,169,220,ACA,4099.8,2484.9,5043.4
115,0,185,213,ACA,4107.8,2564.0,5010.2
116,0,191,228,ACA,4084.0,2405.8,5013.1
117,0,192,221,ACA,4095.9,2484.9,5011.6
120,0,199,240,ACA,4066.2,2287.2,5015.3
124,0,203,197,ACA,4131.5,2722.2,5007.2
125,0,204,215,ACA,4106.8,2544.3,5026.4
126,0,205,256,ACA,4042.5,2129.0,5018.2
128,0,211,245,ACA,4063.2,2227.9,5064.0
129,0,213,197,ACA,4131.5,2722.2,5007.2
131,0,215,231,ACA,4082.0,2366.3,5045.6
139,0,224,198,ACA,4134.5,2702.5,5055.2
148,0,245,248,ACA,4054.4,2208.1,5016.8
151,0,250,228,ACA,4084.0,2405.8,5013.1
157,0,261,259,ACA,4036.6,2089.4,5019.0
158,0,262,248,ACA,4054.4,2208.1,5016.8
166,0,275,222,ACA,4098.8,2465.2,5059.6
169,0,279,244,ACA,4060.3,2247.6,5016.0
170,0,280,234,ACA,4077.1,2346.5,5030.1
173,0,286,231,ACA,4082.0,2366.3,5045.6
174,0,287,259,ACA,4036.6,2089.4,5019.0
181,0,297,190,ACA,4146.3,2781.6,5053.8
182,0,300,252,ACA,4048.4,2168.5,5017.5
184,0,303,252,ACA,4048.4,2168.5,5017.5
185,0,305,221,ACA,4095.9,2484.9,5011.6
186,0,309,189,ACA,4143.4,2801.3,5005.8
187,0,310,222,ACA,4098.8,2465.2,5059.6
189,0,312,189,ACA,4143.4,2801.3,5005.8
192,0,318,190,ACA,4146.3,2781.6,5053.8
199,0,332,259,ACA,4036.6,2089.4,5019.0
200,0,334,191,ACA,4142.4,2781.6,5022.0
202,0,336,213,ACA,4107.8,2564.0,5010.2
205,0,341,219,ACA,4100.9,2504.7,5027.1
206,0,342,209,ACA,4113.7,2603.6,5009.4
207,0,343,228,ACA,4084.0,2405.8,5013.1
209,0,348,227,ACA,4088.0,2405.8,5044.8
211,0,350,250,ACA,4053.4,2188.3,5033.0
215,0,358,222,ACA,4098.8,2465.2,5059.6
218,0,364,196,ACA,4135.5,2722.2,5039.0
219,0,367,253,ACA,4051.3,2148.8,5065.5
222,0,371,242,ACA,4065.2,2267.4,5031.5
224,0,375,231,ACA,4082.0,2366.3,5045.6
225,0,379,260,ACA,4039.5,2069.7,5067.0
228,0,383,198,ACA,4134.5,2702.5,5055.2
232,0,387,244,ACA,4060.3,2247.6,5016.0
236,0,396,248,ACA,4054.4,2208.1,5016.8
237,0,399,230,ACA,4083.0,2386.1,5029.3
241,0,404,221,ACA,4095.9,2484.9,5011.6
243,0,408,235,ACA,4076.1,2326.7,5046.3
244,0,409,190,ACA,4146.3,2781.6,5053.8
245,0,410,222,ACA,4098.8,2465.2,5059.6
250,0,419,252,ACA,4048.4,2168.5,5017.5
251,0,420,198,ACA,4134.5,2702.5,5055.2
263,0,440,217,ACA,4101.9,2524.5,5010.9
264,0,444,222,ACA,4098.8,2465.2,5059.6
267,0,451,207,ACA,4118.7,2623.4,5024.9
270,0,458,242,ACA,4065.2,2267.4,5031.5
271,0,459,242,ACA,4065.2,2267.4,5031.5
272,0,460,216,ACA,4105.8,2524.5,5042.6
273,0,461,216,ACA,4105.8,2524.5,5042.6
274,0,462,238,ACA,4071.2,2307.0,5030.8
275,0,463,252,ACA,4048.4,2168.5,5017.5
276,0,464,249,ACA,4057.3,2188.3,5064.8
280,0,468,217,ACA,4101.9,2524.5,5010.9
289,0,477,254,ACA,4047.4,2148.8,5033.7
299,0,487,210,ACA,4116.6,2583.8,5057.4
300,0,488,191,ACA,4142.4,2781.6,5022.0
305,0,493,218,ACA,4104.8,2504.7,5058.9
316,0,504,175,ACA,4170.1,2939.8,5050.8
321,0,509,228,ACA,4084.0,2405.8,5013.1
322,0,510,254,ACA,4047.4,2148.8,5033.7
328,0,516,189,ACA,4143.4,2801.3,5005.8
339,0,527,248,ACA,4054.4,2208.1,5016.8
344,0,532,189,ACA,4143.4,2801.3,5005.8
350,0,538,223,ACA,4093.9,2445.4,5044.1
352,0,540,210,ACA,4116.6,2583.8,5057.4
355,0,543,239,ACA,4070.2,2287.2,5047.0
3362,3,1214,1015,ACA,4111.0,2213.9,5377.0
3363,3,1215,976,ACA,4184.2,2600.3,5450.2
3367,3,1219,984,ACA,4169.5,2523.0,5435.6
3372,3,1224,1043,ACA,4059.7,1943.4,5325.8
3373,3,1225,985,ACA,4131.9,2503.7,5465.9
3374,3,1226,1027,ACA,4089.0,2098.0,5355.1
3378,3,1230,1032,ACA,4044.1,2040.0,5378.0
3383,3,1236,1023,ACA,4096.3,2136.6,5362.4
3384,3,1237,992,ACA,4154.9,2445.7,5420.9
3385,3,1239,961,ACA,4213.5,2754.8,5479.5
3387,3,1241,987,ACA,4139.6,2484.3,5450.9
3388,3,1242,1020,ACA,4066.0,2155.9,5400.0
3389,3,1243,1028,ACA,4051.4,2078.7,5385.3
3391,3,1245,961,ACA,4213.5,2754.8,5479.5
