,Session,Cluster,Peak Channel,Brain Region,A/P,D/V,L/R
13433,14,1,10,BLA,5676.0,5642.8,2854.1
13434,14,2,10,BLA,5676.0,5642.8,2854.1
13436,14,5,37,BLA,5676.0,5372.4,2926.6
13437,14,6,14,BLA,5676.0,5604.2,2864.5
13438,14,8,13,BLA,5708.0,5604.2,2864.5
13439,14,9,20,BLA,5692.0,5546.2,2880.0
13440,14,10,11,BLA,5724.0,5623.5,2859.3
13441,14,11,23,BLA,5724.0,5507.6,2890.4
13442,14,12,43,BLA,5692.0,5314.4,2942.1
13444,14,15,38,BLA,5724.0,5353.0,2931.8
13445,14,17,62,BLA,5724.0,5121.2,2993.9
13446,14,20,37,BLA,5676.0,5372.4,2926.6
13447,14,21,37,BLA,5676.0,5372.4,2926.6
13449,14,26,6,BLA,5676.0,5681.5,2843.8
13450,14,27,62,BLA,5724.0,5121.2,2993.9
13453,14,31,7,BLA,5724.0,5662.1,2849.0
13454,14,34,50,BLA,5724.0,5237.1,2962.8
13457,14,39,34,BLA,5676.0,5411.0,2916.3
13458,14,40,66,BLA,5724.0,5082.6,3004.3
13460,14,44,50,BLA,5724.0,5237.1,2962.8
13461,14,45,20,BLA,5692.0,5546.2,2880.0
13463,14,47,37,BLA,5676.0,5372.4,2926.6
13465,14,49,3,BLA,5724.0,5700.8,2838.6
13467,14,51,13,BLA,5708.0,5604.2,2864.5
13468,14,52,48,BLA,5708.0,5256.4,2957.7
13472,14,58,3,BLA,5724.0,5700.8,2838.6
13473,14,62,47,BLA,5692.0,5275.8,2952.5
13474,14,64,24,BLA,5692.0,5507.6,2890.4
13475,14,65,15,BLA,5724.0,5584.9,2869.7
13478,14,71,19,BLA,5724.0,5546.2,2880.0
13479,14,73,44,BLA,5708.0,5295.1,2947.3
13484,14,82,62,BLA,5724.0,5121.2,2993.9
13485,14,83,1,BLA,5708.0,5720.1,2833.4
13488,14,86,10,BLA,5676.0,5642.8,2854.1
13491,14,93,31,BLA,5724.0,5430.3,2911.1
13492,14,94,2,BLA,5676.0,5720.1,2833.4
13495,14,97,62,BLA,5724.0,5121.2,2993.9
13497,14,100,57,BLA,5676.0,5179.2,2978.4
13498,14,101,38,BLA,5724.0,5353.0,2931.8
13499,14,102,20,BLA,5692.0,5546.2,2880.0
13502,14,106,39,BLA,5692.0,5353.0,2931.8
13504,14,108,31,BLA,5724.0,5430.3,2911.1
13506,14,113,58,BLA,5724.0,5159.9,2983.6
13508,14,115,15,BLA,5724.0,5584.9,2869.7
13514,14,126,45,BLA,5676.0,5295.1,2947.3
13517,14,130,12,BLA,5692.0,5623.5,2859.3
13518,14,131,37,BLA,5676.0,5372.4,2926.6
13519,14,132,11,BLA,5724.0,5623.5,2859.3
13521,14,134,45,BLA,5676.0,5295.1,2947.3
13523,14,136,20,BLA,5692.0,5546.2,2880.0
13525,14,138,5,BLA,5708.0,5681.5,2843.8
13526,14,139,39,BLA,5692.0,5353.0,2931.8
13528,14,141,13,BLA,5708.0,5604.2,2864.5
13531,14,150,3,BLA,5724.0,5700.8,2838.6
13533,14,152,16,BLA,5692.0,5584.9,2869.7
13535,14,154,3,BLA,5724.0,5700.8,2838.6
13539,14,160,11,BLA,5724.0,5623.5,2859.3
13541,14,168,38,BLA,5724.0,5353.0,2931.8
13542,14,170,1,BLA,5708.0,5720.1,2833.4
13543,14,171,2,BLA,5676.0,5720.1,2833.4
13545,14,173,16,BLA,5692.0,5584.9,2869.7
13547,14,177,23,BLA,5724.0,5507.6,2890.4
13549,14,179,22,BLA,5676.0,5526.9,2885.2
13550,14,180,16,BLA,5692.0,5584.9,2869.7
13552,14,182,7,BLA,5724.0,5662.1,2849.0
13555,14,187,6,BLA,5676.0,5681.5,2843.8
13561,14,196,13,BLA,5708.0,5604.2,2864.5
13563,14,201,48,BLA,5708.0,5256.4,2957.7
13565,14,203,20,BLA,5692.0,5546.2,2880.0
13566,14,205,15,BLA,5724.0,5584.9,2869.7
13571,14,216,15,BLA,5724.0,5584.9,2869.7
13574,14,222,20,BLA,5692.0,5546.2,2880.0
13575,14,224,15,BLA,5724.0,5584.9,2869.7
13576,14,225,19,BLA,5724.0,5546.2,2880.0
13581,14,237,62,BLA,5724.0,5121.2,2993.9
13582,14,239,15,BLA,5724.0,5584.9,2869.7
13583,14,240,48,BLA,5708.0,5256.4,2957.7
13586,14,244,57,BLA,5676.0,5179.2,2978.4
13587,14,246,54,BLA,5724.0,5198.5,2973.2
13588,14,247,61,BLA,5676.0,5140.5,2988.7
13589,14,248,33,BLA,5708.0,5411.0,2916.3
13595,14,255,39,BLA,5692.0,5353.0,2931.8
13596,14,256,57,BLA,5676.0,5179.2,2978.4
13598,14,260,37,BLA,5676.0,5372.4,2926.6
13602,14,265,15,BLA,5724.0,5584.9,2869.7
13606,14,276,1,BLA,5708.0,5720.1,2833.4
13611,14,282,50,BLA,5724.0,5237.1,2962.8
13616,14,289,39,BLA,5692.0,5353.0,2931.8
13617,14,291,2,BLA,5676.0,5720.1,2833.4
13618,14,294,54,BLA,5724.0,5198.5,2973.2
13620,14,298,6,BLA,5676.0,5681.5,2843.8
13622,14,300,22,BLA,5676.0,5526.9,2885.2
13623,14,301,15,BLA,5724.0,5584.9,2869.7
13629,14,308,45,BLA,5676.0,5295.1,2947.3
13630,14,309,19,BLA,5724.0,5546.2,2880.0
13633,14,313,2,BLA,5676.0,5720.1,2833.4
13634,14,315,15,BLA,5724.0,5584.9,2869.7
13635,14,317,15,BLA,5724.0,5584.9,2869.7
13640,14,324,31,BLA,5724.0,5430.3,2911.1
13642,14,327,14,BLA,5676.0,5604.2,2864.5
13643,14,328,11,BLA,5724.0,5623.5,2859.3
13646,14,344,45,BLA,5676.0,5295.1,2947.3
13650,14,350,3,BLA,5724.0,5700.8,2838.6
13651,14,351,13,BLA,5708.0,5604.2,2864.5
13653,14,353,31,BLA,5724.0,5430.3,2911.1
13661,14,366,20,BLA,5692.0,5546.2,2880.0
13664,14,372,34,BLA,5676.0,5411.0,2916.3
13665,14,375,14,BLA,5676.0,5604.2,2864.5
13666,14,376,74,BLA,5724.0,5005.3,3025.0
13670,14,385,31,BLA,5724.0,5430.3,2911.1
13672,14,387,37,BLA,5676.0,5372.4,2926.6
13679,14,398,31,BLA,5724.0,5430.3,2911.1
13681,14,403,11,BLA,5724.0,5623.5,2859.3
13683,14,407,22,BLA,5676.0,5526.9,2885.2
13685,14,415,32,BLA,5692.0,5430.3,2911.1
13687,14,419,66,BLA,5724.0,5082.6,3004.3
13689,14,427,19,BLA,5724.0,5546.2,2880.0
13695,14,435,19,BLA,5724.0,5546.2,2880.0
13696,14,437,7,BLA,5724.0,5662.1,2849.0
13697,14,438,22,BLA,5676.0,5526.9,2885.2
13706,14,456,13,BLA,5708.0,5604.2,2864.5
13711,14,467,3,BLA,5724.0,5700.8,2838.6
13713,14,470,66,BLA,5724.0,5082.6,3004.3
13720,14,485,37,BLA,5676.0,5372.4,2926.6
13730,14,507,45,BLA,5676.0,5295.1,2947.3
13735,14,514,74,BLA,5724.0,5005.3,3025.0
13747,14,537,74,BLA,5724.0,5005.3,3025.0
13748,14,542,52,BLA,5708.0,5217.8,2968.0
13750,14,546,35,BLA,5724.0,5391.7,2921.4
13753,14,549,69,BLA,5676.0,5063.3,3009.4
13760,14,563,17,BLA,5708.0,5565.5,2874.8
13761,14,564,54,BLA,5724.0,5198.5,2973.2
31844,37,0,49,BLA,5676.0,5546.2,2880.0
31845,37,1,2,BLA,5676.0,6009.9,2755.8
31846,37,2,14,BLA,5676.0,5894.0,2786.8
31847,37,4,22,BLA,5676.0,5816.7,2807.6
31848,37,5,84,BLA,5676.0,5198.5,2973.2
31849,37,6,38,BLA,5724.0,5642.8,2854.1
31850,37,7,22,BLA,5676.0,5816.7,2807.6
31851,37,8,19,BLA,5724.0,5836.0,2802.4
31852,37,10,26,BLA,5676.0,5778.0,2817.9
31853,37,11,73,BLA,5676.0,5314.4,2942.1
31854,37,12,49,BLA,5676.0,5546.2,2880.0
31855,37,14,30,BLA,5676.0,5739.4,2828.3
31856,37,15,3,BLA,5724.0,5990.5,2761.0
31857,37,16,76,BLA,5676.0,5275.8,2952.5
31858,37,17,13,BLA,5708.0,5894.0,2786.8
31860,37,19,47,BLA,5692.0,5565.5,2874.8
31861,37,20,22,BLA,5676.0,5816.7,2807.6
31862,37,21,80,BLA,5676.0,5237.1,2962.8
31864,37,23,18,BLA,5676.0,5855.3,2797.2
31865,37,25,38,BLA,5724.0,5642.8,2854.1
31866,37,27,84,BLA,5676.0,5198.5,2973.2
31867,37,30,76,BLA,5676.0,5275.8,2952.5
31868,37,31,71,BLA,5692.0,5333.7,2937.0
31869,37,34,34,BLA,5676.0,5700.8,2838.6
31870,37,35,93,BLA,5724.0,5101.9,2999.1
31872,37,38,98,BLA,5692.0,5063.3,3009.4
31873,37,39,9,BLA,5708.0,5932.6,2776.5
31874,37,40,23,BLA,5724.0,5797.4,2812.7
31875,37,44,98,BLA,5692.0,5063.3,3009.4
31876,37,45,17,BLA,5708.0,5855.3,2797.2
31877,37,46,2,BLA,5676.0,6009.9,2755.8
31879,37,50,9,BLA,5708.0,5932.6,2776.5
31882,37,57,50,BLA,5724.0,5526.9,2885.2
31883,37,58,41,BLA,5676.0,5623.5,2859.3
31884,37,59,62,BLA,5724.0,5411.0,2916.3
31885,37,60,15,BLA,5724.0,5874.6,2792.0
31887,37,64,41,BLA,5676.0,5623.5,2859.3
31888,37,65,30,BLA,5676.0,5739.4,2828.3
31890,37,68,22,BLA,5676.0,5816.7,2807.6
31892,37,70,74,BLA,5724.0,5295.1,2947.3
31893,37,73,3,BLA,5724.0,5990.5,2761.0
31894,37,74,53,BLA,5676.0,5507.6,2890.4
31896,37,78,19,BLA,5724.0,5836.0,2802.4
31898,37,81,28,BLA,5692.0,5758.7,2823.1
31899,37,83,57,BLA,5676.0,5468.9,2900.7
31900,37,84,100,BLA,5676.0,5043.9,3014.6
31902,37,86,49,BLA,5676.0,5546.2,2880.0
31904,37,88,76,BLA,5676.0,5275.8,2952.5
31905,37,89,37,BLA,5676.0,5662.1,2849.0
31906,37,90,22,BLA,5676.0,5816.7,2807.6
31907,37,91,37,BLA,5676.0,5662.1,2849.0
31908,37,92,66,BLA,5724.0,5372.4,2926.6
31910,37,95,58,BLA,5724.0,5449.6,2905.9
31913,37,98,53,BLA,5676.0,5507.6,2890.4
31914,37,99,34,BLA,5676.0,5700.8,2838.6
31915,37,100,93,BLA,5724.0,5101.9,2999.1
31916,37,101,1,BLA,5708.0,6009.9,2755.8
31917,37,102,84,BLA,5676.0,5198.5,2973.2
31918,37,103,31,BLA,5724.0,5720.1,2833.4
31919,37,104,11,BLA,5724.0,5913.3,2781.7
31920,37,105,37,BLA,5676.0,5662.1,2849.0
31921,37,107,80,BLA,5676.0,5237.1,2962.8
31924,37,111,22,BLA,5676.0,5816.7,2807.6
31927,37,117,2,BLA,5676.0,6009.9,2755.8
31928,37,118,26,BLA,5676.0,5778.0,2817.9
31929,37,119,19,BLA,5724.0,5836.0,2802.4
31930,37,120,94,BLA,5692.0,5101.9,2999.1
31931,37,121,94,BLA,5692.0,5101.9,2999.1
31932,37,122,3,BLA,5724.0,5990.5,2761.0
31933,37,123,3,BLA,5724.0,5990.5,2761.0
31934,37,126,36,BLA,5692.0,5681.5,2843.8
31935,37,128,49,BLA,5676.0,5546.2,2880.0
31936,37,129,18,BLA,5676.0,5855.3,2797.2
31937,37,130,15,BLA,5724.0,5874.6,2792.0
31938,37,134,81,BLA,5724.0,5217.8,2968.0
31939,37,135,22,BLA,5676.0,5816.7,2807.6
31940,37,136,71,BLA,5692.0,5333.7,2937.0
31941,37,137,65,BLA,5676.0,5391.7,2921.4
31942,37,138,80,BLA,5676.0,5237.1,2962.8
31943,37,139,38,BLA,5724.0,5642.8,2854.1
31944,37,140,101,BLA,5724.0,5024.6,3019.8
31946,37,142,46,BLA,5724.0,5565.5,2874.8
31947,37,143,53,BLA,5676.0,5507.6,2890.4
31948,37,145,23,BLA,5724.0,5797.4,2812.7
31949,37,146,18,BLA,5676.0,5855.3,2797.2
31950,37,148,49,BLA,5676.0,5546.2,2880.0
31951,37,149,7,BLA,5724.0,5951.9,2771.3
31952,37,150,49,BLA,5676.0,5546.2,2880.0
31954,37,153,62,BLA,5724.0,5411.0,2916.3
31956,37,155,53,BLA,5676.0,5507.6,2890.4
31957,37,156,19,BLA,5724.0,5836.0,2802.4
31958,37,157,19,BLA,5724.0,5836.0,2802.4
31959,37,159,53,BLA,5676.0,5507.6,2890.4
31960,37,161,37,BLA,5676.0,5662.1,2849.0
31961,37,162,57,BLA,5676.0,5468.9,2900.7
31963,37,166,70,BLA,5724.0,5333.7,2937.0
31964,37,167,34,BLA,5676.0,5700.8,2838.6
31965,37,169,73,BLA,5676.0,5314.4,2942.1
31966,37,172,34,BLA,5676.0,5700.8,2838.6
31968,37,175,1,BLA,5708.0,6009.9,2755.8
31970,37,178,96,BLA,5676.0,5082.6,3004.3
31972,37,183,64,BLA,5708.0,5391.7,2921.4
31973,37,184,66,BLA,5724.0,5372.4,2926.6
31975,37,187,26,BLA,5676.0,5778.0,2817.9
31976,37,189,49,BLA,5676.0,5546.2,2880.0
31977,37,190,34,BLA,5676.0,5700.8,2838.6
31980,37,195,37,BLA,5676.0,5662.1,2849.0
31981,37,197,34,BLA,5676.0,5700.8,2838.6
31982,37,198,41,BLA,5676.0,5623.5,2859.3
31983,37,199,7,BLA,5724.0,5951.9,2771.3
31984,37,202,17,BLA,5708.0,5855.3,2797.2
31985,37,203,42,BLA,5724.0,5604.2,2864.5
31986,37,205,53,BLA,5676.0,5507.6,2890.4
31987,37,206,53,BLA,5676.0,5507.6,2890.4
31988,37,207,30,BLA,5676.0,5739.4,2828.3
31989,37,208,34,BLA,5676.0,5700.8,2838.6
31990,37,209,80,BLA,5676.0,5237.1,2962.8
31991,37,210,3,BLA,5724.0,5990.5,2761.0
31992,37,211,41,BLA,5676.0,5623.5,2859.3
31993,37,212,45,BLA,5676.0,5584.9,2869.7
31996,37,215,2,BLA,5676.0,6009.9,2755.8
31999,37,219,10,BLA,5676.0,5932.6,2776.5
32000,37,220,26,BLA,5676.0,5778.0,2817.9
32003,37,226,27,BLA,5724.0,5758.7,2823.1
32004,37,227,16,BLA,5692.0,5874.6,2792.0
32006,37,232,10,BLA,5676.0,5932.6,2776.5
32007,37,234,49,BLA,5676.0,5546.2,2880.0
32008,37,236,96,BLA,5676.0,5082.6,3004.3
32010,37,239,38,BLA,5724.0,5642.8,2854.1
32012,37,241,80,BLA,5676.0,5237.1,2962.8
32013,37,242,1,BLA,5708.0,6009.9,2755.8
32014,37,244,23,BLA,5724.0,5797.4,2812.7
32018,37,249,98,BLA,5692.0,5063.3,3009.4
32020,37,252,46,BLA,5724.0,5565.5,2874.8
32023,37,257,18,BLA,5676.0,5855.3,2797.2
32024,37,258,80,BLA,5676.0,5237.1,2962.8
32025,37,259,7,BLA,5724.0,5951.9,2771.3
32027,37,261,53,BLA,5676.0,5507.6,2890.4
32028,37,262,38,BLA,5724.0,5642.8,2854.1
32030,37,264,26,BLA,5676.0,5778.0,2817.9
32032,37,268,101,BLA,5724.0,5024.6,3019.8
32033,37,270,53,BLA,5676.0,5507.6,2890.4
32034,37,271,15,BLA,5724.0,5874.6,2792.0
32035,37,272,37,BLA,5676.0,5662.1,2849.0
32037,37,274,73,BLA,5676.0,5314.4,2942.1
32039,37,281,53,BLA,5676.0,5507.6,2890.4
32040,37,287,98,BLA,5692.0,5063.3,3009.4
32041,37,288,57,BLA,5676.0,5468.9,2900.7
32042,37,289,26,BLA,5676.0,5778.0,2817.9
32043,37,290,26,BLA,5676.0,5778.0,2817.9
32044,37,291,35,BLA,5724.0,5681.5,2843.8
32046,37,294,7,BLA,5724.0,5951.9,2771.3
32048,37,296,88,BLA,5676.0,5159.9,2983.6
32050,37,299,37,BLA,5676.0,5662.1,2849.0
32051,37,300,69,BLA,5676.0,5353.0,2931.8
32057,37,316,101,BLA,5724.0,5024.6,3019.8
32058,37,318,66,BLA,5724.0,5372.4,2926.6
32061,37,323,15,BLA,5724.0,5874.6,2792.0
32062,37,324,80,BLA,5676.0,5237.1,2962.8
32064,37,326,11,BLA,5724.0,5913.3,2781.7
32067,37,330,65,BLA,5676.0,5391.7,2921.4
32070,37,334,80,BLA,5676.0,5237.1,2962.8
32071,37,335,15,BLA,5724.0,5874.6,2792.0
32072,37,338,62,BLA,5724.0,5411.0,2916.3
32073,37,341,18,BLA,5676.0,5855.3,2797.2
32074,37,342,3,BLA,5724.0,5990.5,2761.0
32075,37,344,19,BLA,5724.0,5836.0,2802.4
32077,37,348,53,BLA,5676.0,5507.6,2890.4
32079,37,352,61,BLA,5676.0,5430.3,2911.1
32081,37,355,101,BLA,5724.0,5024.6,3019.8
32083,37,359,61,BLA,5676.0,5430.3,2911.1
32084,37,360,38,BLA,5724.0,5642.8,2854.1
32089,37,369,93,BLA,5724.0,5101.9,2999.1
32092,37,372,100,BLA,5676.0,5043.9,3014.6
32094,37,376,23,BLA,5724.0,5797.4,2812.7
32095,37,377,19,BLA,5724.0,5836.0,2802.4
32097,37,379,53,BLA,5676.0,5507.6,2890.4
32100,37,382,7,BLA,5724.0,5951.9,2771.3
32101,37,387,26,BLA,5676.0,5778.0,2817.9
32102,37,388,65,BLA,5676.0,5391.7,2921.4
32103,37,389,31,BLA,5724.0,5720.1,2833.4
32104,37,390,34,BLA,5676.0,5700.8,2838.6
32125,37,413,42,BLA,5724.0,5604.2,2864.5
32126,37,414,27,BLA,5724.0,5758.7,2823.1
32127,37,415,16,BLA,5692.0,5874.6,2792.0
