,Session,Cluster,Peak Channel,Brain Region,A/P,D/V,L/R
734,1,0,205,CA1,8260.8,2672.8,2175.6
738,1,5,212,CA1,8261.5,2596.5,2135.5
739,1,6,209,CA1,8270.6,2634.6,2168.5
740,1,7,205,CA1,8260.8,2672.8,2175.6
742,1,9,207,CA1,8256.3,2653.7,2159.1
743,1,10,205,CA1,8260.8,2672.8,2175.6
744,1,11,178,CA1,8192.6,2939.8,2225.0
745,1,12,213,CA1,8280.3,2596.5,2161.5
754,1,21,210,CA1,8247.3,2615.6,2126.1
756,1,23,207,CA1,8256.3,2653.7,2159.1
759,1,26,196,CA1,8222.6,2749.1,2163.8
760,1,27,194,CA1,8208.3,2768.2,2154.4
766,1,33,205,CA1,8260.8,2672.8,2175.6
767,1,34,201,CA1,8251.1,2710.9,2182.6
770,1,37,185,CA1,8212.1,2863.5,2210.9
771,1,38,214,CA1,8257.0,2577.4,2119.1
775,1,42,195,CA1,8227.1,2768.2,2180.3
778,1,45,190,CA1,8198.6,2806.3,2161.5
780,1,49,158,CA1,8143.9,3130.5,2260.4
785,1,54,205,CA1,8260.8,2672.8,2175.6
786,1,55,216,CA1,8271.3,2558.3,2128.5
790,1,59,194,CA1,8208.3,2768.2,2154.4
792,1,61,185,CA1,8212.1,2863.5,2210.9
793,1,62,211,CA1,8266.1,2615.6,2152.0
794,1,63,216,CA1,8271.3,2558.3,2128.5
796,1,65,193,CA1,8231.6,2787.2,2196.8
800,1,70,208,CA1,8251.8,2634.6,2142.6
815,1,85,209,CA1,8270.6,2634.6,2168.5
817,1,88,227,CA1,8300.5,2443.9,2107.3
819,1,90,200,CA1,8232.3,2710.9,2156.7
824,1,96,207,CA1,8256.3,2653.7,2159.1
825,1,97,209,CA1,8270.6,2634.6,2168.5
826,1,98,227,CA1,8300.5,2443.9,2107.3
828,1,100,201,CA1,8251.1,2710.9,2182.6
830,1,102,208,CA1,8251.8,2634.6,2142.6
832,1,104,209,CA1,8270.6,2634.6,2168.5
835,1,107,178,CA1,8192.6,2939.8,2225.0
836,1,108,209,CA1,8270.6,2634.6,2168.5
839,1,111,209,CA1,8270.6,2634.6,2168.5
841,1,113,209,CA1,8270.6,2634.6,2168.5
843,1,115,205,CA1,8260.8,2672.8,2175.6
846,1,118,189,CA1,8221.9,2825.4,2203.8
849,1,121,185,CA1,8212.1,2863.5,2210.9
853,1,126,180,CA1,8188.1,2920.7,2208.6
855,1,128,197,CA1,8241.3,2749.1,2189.7
856,1,129,197,CA1,8241.3,2749.1,2189.7
858,1,131,197,CA1,8241.3,2749.1,2189.7
860,1,133,188,CA1,8203.1,2825.4,2177.9
862,1,135,207,CA1,8256.3,2653.7,2159.1
863,1,136,153,CA1,8115.4,3168.7,2241.5
867,1,141,209,CA1,8270.6,2634.6,2168.5
873,1,147,212,CA1,8261.5,2596.5,2135.5
878,1,152,200,CA1,8232.3,2710.9,2156.7
879,1,153,193,CA1,8231.6,2787.2,2196.8
880,1,154,213,CA1,8280.3,2596.5,2161.5
897,1,172,218,CA1,8266.8,2539.3,2112.0
899,1,174,197,CA1,8241.3,2749.1,2189.7
901,1,176,227,CA1,8300.5,2443.9,2107.3
908,1,184,200,CA1,8232.3,2710.9,2156.7
911,1,187,210,CA1,8247.3,2615.6,2126.1
913,1,190,191,CA1,8217.3,2806.3,2187.4
914,1,191,208,CA1,8251.8,2634.6,2142.6
915,1,192,241,CA1,8325.2,2310.4,2069.6
916,1,193,205,CA1,8260.8,2672.8,2175.6
920,1,197,210,CA1,8247.3,2615.6,2126.1
922,1,199,180,CA1,8188.1,2920.7,2208.6
924,1,201,177,CA1,8173.8,2939.8,2199.1
940,1,217,210,CA1,8247.3,2615.6,2126.1
942,1,219,227,CA1,8300.5,2443.9,2107.3
943,1,221,213,CA1,8280.3,2596.5,2161.5
951,1,231,199,CA1,8236.8,2730.0,2173.2
953,1,233,189,CA1,8221.9,2825.4,2203.8
954,1,234,166,CA1,8163.4,3054.2,2246.2
955,1,235,205,CA1,8260.8,2672.8,2175.6
957,1,237,197,CA1,8241.3,2749.1,2189.7
959,1,239,158,CA1,8143.9,3130.5,2260.4
962,1,242,189,CA1,8221.9,2825.4,2203.8
963,1,243,155,CA1,8110.8,3149.6,2225.1
966,1,246,180,CA1,8188.1,2920.7,2208.6
972,1,252,196,CA1,8222.6,2749.1,2163.8
974,1,254,216,CA1,8271.3,2558.3,2128.5
978,1,258,197,CA1,8241.3,2749.1,2189.7
981,1,261,191,CA1,8217.3,2806.3,2187.4
982,1,262,189,CA1,8221.9,2825.4,2203.8
983,1,264,221,CA1,8299.8,2520.2,2147.3
989,1,273,201,CA1,8251.1,2710.9,2182.6
990,1,274,214,CA1,8257.0,2577.4,2119.1
991,1,275,205,CA1,8260.8,2672.8,2175.6
992,1,276,182,CA1,8202.4,2901.7,2218.0
994,1,278,201,CA1,8251.1,2710.9,2182.6
1000,1,284,229,CA1,8296.0,2424.8,2090.8
1004,1,288,213,CA1,8280.3,2596.5,2161.5
1006,1,290,166,CA1,8163.4,3054.2,2246.2
1007,1,291,175,CA1,8159.6,2958.9,2189.7
1013,1,298,155,CA1,8110.8,3149.6,2225.1
1014,1,299,193,CA1,8231.6,2787.2,2196.8
1019,1,304,201,CA1,8251.1,2710.9,2182.6
1021,1,306,205,CA1,8260.8,2672.8,2175.6
1022,1,307,200,CA1,8232.3,2710.9,2156.7
1023,1,308,201,CA1,8251.1,2710.9,2182.6
1024,1,310,210,CA1,8247.3,2615.6,2126.1
1025,1,311,209,CA1,8270.6,2634.6,2168.5
1026,1,312,189,CA1,8221.9,2825.4,2203.8
1031,1,317,227,CA1,8300.5,2443.9,2107.3
1034,1,320,189,CA1,8221.9,2825.4,2203.8
1037,1,324,212,CA1,8261.5,2596.5,2135.5
1042,1,330,212,CA1,8261.5,2596.5,2135.5
1045,1,333,207,CA1,8256.3,2653.7,2159.1
1046,1,334,189,CA1,8221.9,2825.4,2203.8
1048,1,336,177,CA1,8173.8,2939.8,2199.1
1049,1,337,210,CA1,8247.3,2615.6,2126.1
1052,1,340,196,CA1,8222.6,2749.1,2163.8
1057,1,345,201,CA1,8251.1,2710.9,2182.6
1058,1,346,193,CA1,8231.6,2787.2,2196.8
1059,1,348,191,CA1,8217.3,2806.3,2187.4
1061,1,350,180,CA1,8188.1,2920.7,2208.6
1066,1,355,166,CA1,8163.4,3054.2,2246.2
1067,1,356,162,CA1,8153.6,3092.4,2253.3
1079,1,370,210,CA1,8247.3,2615.6,2126.1
1085,1,377,166,CA1,8163.4,3054.2,2246.2
1087,1,379,201,CA1,8251.1,2710.9,2182.6
1088,1,380,205,CA1,8260.8,2672.8,2175.6
1089,1,381,197,CA1,8241.3,2749.1,2189.7
1091,1,383,193,CA1,8231.6,2787.2,2196.8
1094,1,386,152,CA1,8119.9,3187.8,2258.0
1095,1,387,205,CA1,8260.8,2672.8,2175.6
1097,1,390,185,CA1,8212.1,2863.5,2210.9
1100,1,394,197,CA1,8241.3,2749.1,2189.7
1104,1,399,201,CA1,8251.1,2710.9,2182.6
1110,1,406,205,CA1,8260.8,2672.8,2175.6
1117,1,414,227,CA1,8300.5,2443.9,2107.3
1120,1,417,169,CA1,8154.3,3016.1,2213.3
1125,1,422,185,CA1,8212.1,2863.5,2210.9
1126,1,423,185,CA1,8212.1,2863.5,2210.9
1128,1,425,208,CA1,8251.8,2634.6,2142.6
1133,1,431,201,CA1,8251.1,2710.9,2182.6
1136,1,434,201,CA1,8251.1,2710.9,2182.6
1138,1,436,195,CA1,8227.1,2768.2,2180.3
1145,1,443,208,CA1,8251.8,2634.6,2142.6
1148,1,446,244,CA1,8358.3,2291.3,2104.9
1156,1,456,201,CA1,8251.1,2710.9,2182.6
1157,1,457,185,CA1,8212.1,2863.5,2210.9
1160,1,460,187,CA1,8207.6,2844.4,2194.4
1161,1,461,210,CA1,8247.3,2615.6,2126.1
1162,1,462,201,CA1,8251.1,2710.9,2182.6
1163,1,463,169,CA1,8154.3,3016.1,2213.3
1170,1,470,213,CA1,8280.3,2596.5,2161.5
1171,1,472,221,CA1,8299.8,2520.2,2147.3
1172,1,473,180,CA1,8188.1,2920.7,2208.6
1177,1,478,211,CA1,8266.1,2615.6,2152.0
1179,1,480,166,CA1,8163.4,3054.2,2246.2
1180,1,481,174,CA1,8182.9,2978.0,2232.1
1184,1,485,207,CA1,8256.3,2653.7,2159.1
1185,1,487,205,CA1,8260.8,2672.8,2175.6
1187,1,489,205,CA1,8260.8,2672.8,2175.6
1188,1,490,200,CA1,8232.3,2710.9,2156.7
1190,1,492,189,CA1,8221.9,2825.4,2203.8
1192,1,494,155,CA1,8110.8,3149.6,2225.1
1198,1,501,244,CA1,8358.3,2291.3,2104.9
1201,1,505,189,CA1,8221.9,2825.4,2203.8
1202,1,506,185,CA1,8212.1,2863.5,2210.9
1204,1,508,191,CA1,8217.3,2806.3,2187.4
1206,1,510,180,CA1,8188.1,2920.7,2208.6
1213,1,518,205,CA1,8260.8,2672.8,2175.6
1214,1,519,209,CA1,8270.6,2634.6,2168.5
1217,1,522,213,CA1,8280.3,2596.5,2161.5
1222,1,529,227,CA1,8300.5,2443.9,2107.3
1223,1,530,210,CA1,8247.3,2615.6,2126.1
1225,1,532,170,CA1,8173.1,3016.1,2239.2
1229,1,539,190,CA1,8198.6,2806.3,2161.5
1232,1,542,208,CA1,8251.8,2634.6,2142.6
1235,1,545,221,CA1,8299.8,2520.2,2147.3
1239,1,549,203,CA1,8246.6,2691.9,2166.2
1241,1,551,210,CA1,8247.3,2615.6,2126.1
1242,1,552,205,CA1,8260.8,2672.8,2175.6
1246,1,558,227,CA1,8300.5,2443.9,2107.3
1247,1,559,189,CA1,8221.9,2825.4,2203.8
1251,1,563,211,CA1,8266.1,2615.6,2152.0
1252,1,564,192,CA1,8212.8,2787.2,2170.9
1254,1,566,166,CA1,8163.4,3054.2,2246.2
1256,1,568,205,CA1,8260.8,2672.8,2175.6
1266,1,578,196,CA1,8222.6,2749.1,2163.8
1272,1,584,185,CA1,8212.1,2863.5,2210.9
1274,1,586,191,CA1,8217.3,2806.3,2187.4
1277,1,590,201,CA1,8251.1,2710.9,2182.6
1281,1,595,244,CA1,8358.3,2291.3,2104.9
1284,1,598,178,CA1,8192.6,2939.8,2225.0
1286,1,600,208,CA1,8251.8,2634.6,2142.6
1287,1,601,210,CA1,8247.3,2615.6,2126.1
1293,1,608,208,CA1,8251.8,2634.6,2142.6
1809,2,7,247,CA1,7892.1,1398.2,3628.0
1814,2,20,249,CA1,7895.2,1378.8,3644.4
1824,2,45,249,CA1,7895.2,1378.8,3644.4
1834,2,61,236,CA1,7903.1,1514.6,3586.1
1836,2,64,237,CA1,7921.0,1495.2,3630.9
1845,2,83,253,CA1,7886.5,1340.0,3648.9
1846,2,85,237,CA1,7921.0,1495.2,3630.9
1854,2,99,245,CA1,7903.8,1417.6,3639.9
1861,2,110,222,CA1,7955.5,1650.4,3612.9
1867,2,121,240,CA1,7894.5,1475.8,3590.6
1875,2,139,246,CA1,7889.0,1417.6,3611.5
1878,2,147,236,CA1,7903.1,1514.6,3586.1
1890,2,179,245,CA1,7903.8,1417.6,3639.9
1893,2,188,235,CA1,7917.9,1514.6,3614.5
1899,2,205,237,CA1,7921.0,1495.2,3630.9
1907,2,220,248,CA1,7877.3,1398.2,3599.6
1924,2,259,247,CA1,7892.1,1398.2,3628.0
1933,2,273,246,CA1,7889.0,1417.6,3611.5
1934,2,274,228,CA1,7920.4,1592.2,3577.1
1939,2,282,241,CA1,7912.4,1456.4,3635.4
1952,2,309,224,CA1,7929.0,1631.0,3572.6
1955,2,315,242,CA1,7897.6,1456.4,3607.0
1978,2,362,252,CA1,7868.7,1359.4,3604.1
1979,2,367,240,CA1,7894.5,1475.8,3590.6
1990,2,397,242,CA1,7897.6,1456.4,3607.0
1999,2,417,230,CA1,7923.4,1572.8,3593.6
