,Session,Cluster,Peak Channel,Brain Region,A/P,D/V,L/R
373,0,562,420,DG,8865.5,4266.8,3038.3
387,0,579,480,DG,9015.4,3689.7,2963.5
427,0,644,423,DG,8899.1,4247.5,3073.0
442,0,669,409,DG,8839.4,4382.2,3058.3
454,0,685,468,DG,8989.3,3805.1,2983.6
472,0,709,468,DG,8989.3,3805.1,2983.6
477,0,718,432,DG,8891.6,4151.3,3018.3
503,0,761,431,DG,8916.5,4170.6,3059.7
518,0,782,426,DG,8888.3,4209.0,3041.0
525,0,796,427,DG,8907.8,4209.0,3066.3
530,0,809,468,DG,8989.3,3805.1,2983.6
555,0,849,427,DG,8907.8,4209.0,3066.3
572,0,873,449,DG,8940.5,3978.2,3000.9
580,0,884,449,DG,8940.5,3978.2,3000.9
589,0,898,447,DG,8951.3,4016.7,3033.0
591,0,901,409,DG,8839.4,4382.2,3058.3
595,0,908,440,DG,8909.0,4074.4,3004.9
632,0,969,465,DG,8975.2,3824.4,2974.2
638,0,978,458,DG,8977.3,3901.3,3012.9
645,0,991,460,DG,8971.9,3882.1,2996.9
653,0,1004,432,DG,8891.6,4151.3,3018.3
658,0,1009,435,DG,8925.2,4132.1,3053.0
668,0,1019,432,DG,8891.6,4151.3,3018.3
672,0,1023,470,DG,9003.4,3785.9,2992.9
674,0,1025,412,DG,8848.1,4343.7,3051.6
676,0,1027,427,DG,8907.8,4209.0,3066.3
677,0,1028,437,DG,8919.8,4112.9,3037.0
686,0,1037,423,DG,8899.1,4247.5,3073.0
711,0,1062,460,DG,8971.9,3882.1,2996.9
726,0,1077,417,DG,8876.3,4305.2,3070.3
728,0,1079,425,DG,8893.7,4228.3,3057.0
730,0,1081,415,DG,8881.7,4324.5,3086.4
731,0,1082,449,DG,8940.5,3978.2,3000.9
733,0,1084,438,DG,8914.4,4093.6,3020.9
1804,2,0,164,DG,8069.9,2232.5,3517.1
1822,2,43,186,DG,8033.0,1999.6,3572.5
1830,2,53,160,DG,8078.6,2271.3,3512.6
1835,2,62,176,DG,8044.1,2116.1,3530.6
1838,2,67,178,DG,8032.4,2096.6,3518.7
1839,2,69,169,DG,8064.4,2174.3,3538.1
1851,2,91,179,DG,8050.3,2077.2,3563.5
1855,2,100,185,DG,8015.2,2019.0,3527.7
1862,2,111,167,DG,8076.1,2193.7,3550.0
1863,2,114,186,DG,8033.0,1999.6,3572.5
1869,2,124,170,DG,8049.6,2174.3,3509.7
1874,2,135,159,DG,8093.4,2271.3,3541.0
1885,2,169,185,DG,8015.2,2019.0,3527.7
1922,2,257,186,DG,8033.0,1999.6,3572.5
1938,2,280,163,DG,8084.7,2232.5,3545.5
