,Session,Cluster,Peak Channel,Brain Region,A/P,D/V,L/R
7022,7,0,170,ILA,3394.3,3351.7,5328.4
7024,7,3,131,ILA,3564.7,3700.4,5425.0
7026,7,5,159,ILA,3413.2,3438.8,5394.3
7027,7,7,162,ILA,3428.4,3421.4,5347.7
7028,7,8,160,ILA,3429.0,3438.8,5366.4
7029,7,9,205,ILA,3240.9,3037.8,5241.4
7030,7,11,148,ILA,3464.4,3543.5,5423.3
7034,7,16,206,ILA,3208.7,3020.4,5278.3
7035,7,20,136,ILA,3515.5,3648.1,5452.2
7037,7,23,159,ILA,3413.2,3438.8,5394.3
7040,7,27,159,ILA,3413.2,3438.8,5394.3
7041,7,28,139,ILA,3530.6,3630.7,5405.7
7044,7,32,146,ILA,3480.8,3560.9,5414.2
7052,7,41,205,ILA,3240.9,3037.8,5241.4
7053,7,42,141,ILA,3514.2,3613.2,5414.7
7054,7,43,142,ILA,3497.8,3595.8,5423.8
7057,7,46,199,ILA,3258.6,3090.1,5269.8
7062,7,52,136,ILA,3515.5,3648.1,5452.2
7064,7,54,184,ILA,3326.8,3229.6,5308.5
7067,7,58,182,ILA,3343.2,3247.0,5299.4
7069,7,61,205,ILA,3240.9,3037.8,5241.4
7072,7,64,178,ILA,3360.2,3281.9,5309.0
7073,7,66,182,ILA,3343.2,3247.0,5299.4
7081,7,74,174,ILA,3377.3,3316.8,5318.7
7086,7,81,174,ILA,3377.3,3316.8,5318.7
7089,7,85,174,ILA,3377.3,3316.8,5318.7
7092,7,93,148,ILA,3464.4,3543.5,5423.3
7093,7,94,164,ILA,3412.0,3404.0,5356.8
7100,7,104,164,ILA,3412.0,3404.0,5356.8
7101,7,106,158,ILA,3445.4,3456.3,5357.3
7109,7,115,195,ILA,3275.6,3125.0,5279.5
7112,7,118,162,ILA,3428.4,3421.4,5347.7
7113,7,119,160,ILA,3429.0,3438.8,5366.4
7117,7,124,206,ILA,3208.7,3020.4,5278.3
7122,7,130,201,ILA,3258.0,3072.7,5251.1
7123,7,131,168,ILA,3394.9,3369.1,5347.1
7125,7,133,205,ILA,3240.9,3037.8,5241.4
7135,7,143,154,ILA,3462.5,3491.2,5367.0
7137,7,146,179,ILA,3328.0,3264.5,5346.0
7138,7,147,185,ILA,3326.1,3212.2,5289.7
7139,7,148,204,ILA,3225.1,3037.8,5269.3
7148,7,159,194,ILA,3259.9,3125.0,5307.3
7156,7,172,209,ILA,3223.9,3002.9,5231.8
7161,7,181,148,ILA,3464.4,3543.5,5423.3
7165,7,185,136,ILA,3515.5,3648.1,5452.2
7167,7,188,136,ILA,3515.5,3648.1,5452.2
7168,7,189,179,ILA,3328.0,3264.5,5346.0
7169,7,190,142,ILA,3497.8,3595.8,5423.8
7171,7,192,158,ILA,3445.4,3456.3,5357.3
7173,7,194,166,ILA,3411.3,3386.5,5338.0
7174,7,195,172,ILA,3377.9,3334.2,5337.5
7180,7,203,158,ILA,3445.4,3456.3,5357.3
7183,7,206,147,ILA,3496.6,3560.9,5386.3
7185,7,211,189,ILA,3309.1,3177.3,5280.1
7198,7,230,170,ILA,3394.3,3351.7,5328.4
7207,7,241,175,ILA,3345.1,3299.3,5355.6
7210,7,245,149,ILA,3463.7,3526.0,5404.5
7214,7,250,183,ILA,3311.0,3229.6,5336.3
7215,7,251,163,ILA,3396.2,3404.0,5384.6
7218,7,254,133,ILA,3548.3,3683.0,5434.1
7219,7,255,167,ILA,3379.2,3369.1,5375.0
7222,7,258,148,ILA,3464.4,3543.5,5423.3
7227,7,264,209,ILA,3223.9,3002.9,5231.8
7228,7,265,187,ILA,3309.7,3194.7,5298.8
7229,7,266,208,ILA,3208.1,3002.9,5259.6
7231,7,268,154,ILA,3462.5,3491.2,5367.0
7235,7,273,133,ILA,3548.3,3683.0,5434.1
7236,7,274,162,ILA,3428.4,3421.4,5347.7
7237,7,275,193,ILA,3292.1,3142.4,5270.4
7248,7,290,156,ILA,3446.1,3473.7,5376.1
7249,7,291,158,ILA,3445.4,3456.3,5357.3
7258,7,300,161,ILA,3412.6,3421.4,5375.5
7259,7,301,175,ILA,3345.1,3299.3,5355.6
7263,7,305,140,ILA,3498.5,3613.2,5442.6
7264,7,306,142,ILA,3497.8,3595.8,5423.8
7278,7,331,171,ILA,3362.1,3334.2,5365.3
7279,7,332,184,ILA,3326.8,3229.6,5308.5
7282,7,335,153,ILA,3446.7,3491.2,5394.8
7283,7,336,185,ILA,3326.1,3212.2,5289.7
7284,7,337,162,ILA,3428.4,3421.4,5347.7
7287,7,341,142,ILA,3497.8,3595.8,5423.8
7296,7,352,153,ILA,3446.7,3491.2,5394.8
7299,7,355,152,ILA,3463.1,3508.6,5385.8
7300,7,357,176,ILA,3360.9,3299.3,5327.8
7306,7,367,156,ILA,3446.1,3473.7,5376.1
7307,7,368,178,ILA,3360.2,3281.9,5309.0
7315,7,378,180,ILA,3343.8,3264.5,5318.1
7317,7,380,209,ILA,3223.9,3002.9,5231.8
7319,7,382,176,ILA,3360.9,3299.3,5327.8
