,Session,Cluster,Peak Channel,Brain Region,A/P,D/V,L/R
4961,4,987,888,ORB,2877.8,3448.9,5888.3
4974,4,1010,884,ORB,2865.8,3485.1,5900.2
4992,4,1035,884,ORB,2865.8,3485.1,5900.2
4993,4,1038,872,ORB,2830.0,3593.9,5936.1
4997,4,1042,867,ORB,2846.0,3648.3,5988.0
5009,4,1061,872,ORB,2830.0,3593.9,5936.1
5011,4,1063,872,ORB,2830.0,3593.9,5936.1
5019,4,1073,872,ORB,2830.0,3593.9,5936.1
5020,4,1074,876,ORB,2841.9,3557.6,5924.1
5026,4,1080,899,ORB,2913.6,3340.1,5852.4
5030,4,1088,899,ORB,2913.6,3340.1,5852.4
5033,4,1094,871,ORB,2857.9,3612.0,5976.0
5041,4,1104,872,ORB,2830.0,3593.9,5936.1
5074,4,1155,888,ORB,2877.8,3448.9,5888.3
5084,4,1170,879,ORB,2881.8,3539.5,5952.1
5110,4,1217,868,ORB,2818.0,3630.1,5948.1
5119,4,1230,899,ORB,2913.6,3340.1,5852.4
5125,4,1245,892,ORB,2889.7,3412.6,5876.3
5131,4,1254,880,ORB,2853.9,3521.4,5912.2
5143,4,1277,871,ORB,2857.9,3612.0,5976.0
5151,4,1292,903,ORB,2925.6,3303.9,5840.5
5153,4,1303,880,ORB,2853.9,3521.4,5912.2
5154,4,1304,880,ORB,2853.9,3521.4,5912.2
5159,4,1309,888,ORB,2877.8,3448.9,5888.3
5232,4,1495,888,ORB,2877.8,3448.9,5888.3
5235,4,1500,869,ORB,2840.6,3630.1,5970.7
5241,4,1524,868,ORB,2818.0,3630.1,5948.1
5247,4,1541,879,ORB,2881.8,3539.5,5952.1
5249,4,1547,872,ORB,2830.0,3593.9,5936.1
5250,4,1548,871,ORB,2857.9,3612.0,5976.0
5259,4,1559,864,ORB,2806.1,3666.4,5960.0
5268,4,1568,871,ORB,2857.9,3612.0,5976.0
12677,13,0,37,ORB,2089.6,3400.7,4430.6
12679,13,2,49,ORB,2137.2,3292.0,4447.9
12681,13,4,38,ORB,2113.9,3382.6,4388.4
12682,13,5,27,ORB,2066.3,3491.4,4371.0
12687,13,12,15,ORB,2018.6,3600.1,4353.7
12690,13,15,54,ORB,2177.5,3237.6,4411.5
12698,13,25,19,ORB,2034.5,3563.9,4359.5
12699,13,26,27,ORB,2066.3,3491.4,4371.0
12700,13,27,12,ORB,1991.8,3636.4,4378.0
12702,13,29,46,ORB,2145.7,3310.1,4399.9
12703,13,32,19,ORB,2034.5,3563.9,4359.5
12704,13,34,58,ORB,2193.4,3201.4,4417.3
12705,13,35,42,ORB,2129.8,3346.4,4394.1
12711,13,41,84,ORB,2280.2,2965.7,4500.0
12713,13,44,37,ORB,2089.6,3400.7,4430.6
12716,13,48,70,ORB,2241.0,3092.6,4434.6
12717,13,49,27,ORB,2066.3,3491.4,4371.0
12720,13,54,19,ORB,2034.5,3563.9,4359.5
12724,13,60,22,ORB,2026.0,3545.8,4407.4
12726,13,62,54,ORB,2177.5,3237.6,4411.5
12728,13,65,54,ORB,2177.5,3237.6,4411.5
12729,13,67,62,ORB,2209.3,3165.1,4423.1
12730,13,68,62,ORB,2209.3,3165.1,4423.1
12732,13,70,15,ORB,2018.6,3600.1,4353.7
12734,13,72,54,ORB,2177.5,3237.6,4411.5
12736,13,74,51,ORB,2150.7,3273.9,4435.8
12737,13,75,77,ORB,2272.8,3020.1,4446.2
12738,13,76,77,ORB,2272.8,3020.1,4446.2
12743,13,81,18,ORB,2010.2,3582.0,4401.7
12744,13,83,62,ORB,2209.3,3165.1,4423.1
12745,13,84,10,ORB,1978.4,3654.5,4390.1
12748,13,88,27,ORB,2066.3,3491.4,4371.0
12751,13,91,13,ORB,2005.2,3618.3,4365.8
12757,13,98,26,ORB,2041.9,3509.5,4413.2
12758,13,99,58,ORB,2193.4,3201.4,4417.3
12759,13,100,62,ORB,2209.3,3165.1,4423.1
12760,13,101,84,ORB,2280.2,2965.7,4500.0
12762,13,106,46,ORB,2145.7,3310.1,4399.9
12764,13,108,31,ORB,2082.2,3455.1,4376.8
12766,13,110,22,ORB,2026.0,3545.8,4407.4
12767,13,111,27,ORB,2066.3,3491.4,4371.0
12768,13,112,47,ORB,2134.8,3310.1,4430.0
12769,13,113,93,ORB,2336.3,2875.1,4469.3
12773,13,118,19,ORB,2034.5,3563.9,4359.5
12774,13,119,58,ORB,2193.4,3201.4,4417.3
12775,13,120,62,ORB,2209.3,3165.1,4423.1
12777,13,122,77,ORB,2272.8,3020.1,4446.2
12778,13,124,88,ORB,2296.1,2929.5,4505.7
12779,13,125,23,ORB,2050.4,3527.6,4365.2
12781,13,128,47,ORB,2134.8,3310.1,4430.0
12782,13,129,36,ORB,2087.1,3418.9,4412.6
12784,13,131,11,ORB,2002.7,3636.4,4347.9
12785,13,132,30,ORB,2057.8,3473.2,4419.0
12786,13,134,80,ORB,2264.3,3002.0,4494.2
12787,13,135,46,ORB,2145.7,3310.1,4399.9
12788,13,136,10,ORB,1978.4,3654.5,4390.1
12789,13,137,50,ORB,2161.6,3273.9,4405.7
12791,13,141,77,ORB,2272.8,3020.1,4446.2
12792,13,142,22,ORB,2026.0,3545.8,4407.4
12793,13,144,15,ORB,2018.6,3600.1,4353.7
12795,13,146,84,ORB,2280.2,2965.7,4500.0
12797,13,149,23,ORB,2050.4,3527.6,4365.2
12799,13,151,62,ORB,2209.3,3165.1,4423.1
12801,13,156,74,ORB,2256.9,3056.3,4440.4
12803,13,159,60,ORB,2195.8,3183.2,4435.2
12805,13,161,38,ORB,2113.9,3382.6,4388.4
12806,13,162,41,ORB,2105.5,3364.5,4436.4
12809,13,167,19,ORB,2034.5,3563.9,4359.5
12811,13,170,24,ORB,2039.5,3527.6,4395.3
12814,13,176,62,ORB,2209.3,3165.1,4423.1
12815,13,177,69,ORB,2216.7,3110.7,4476.8
12816,13,180,36,ORB,2087.1,3418.9,4412.6
12818,13,183,54,ORB,2177.5,3237.6,4411.5
12821,13,187,39,ORB,2103.0,3382.6,4418.4
12823,13,192,53,ORB,2153.1,3255.7,4453.7
12825,13,194,34,ORB,2073.7,3437.0,4424.8
12827,13,197,19,ORB,2034.5,3563.9,4359.5
12828,13,199,26,ORB,2041.9,3509.5,4413.2
12832,13,205,77,ORB,2272.8,3020.1,4446.2
12835,13,208,66,ORB,2225.1,3128.8,4428.8
12836,13,209,70,ORB,2241.0,3092.6,4434.6
12837,13,210,69,ORB,2216.7,3110.7,4476.8
12840,13,213,58,ORB,2193.4,3201.4,4417.3
12841,13,214,45,ORB,2121.4,3328.2,4442.1
12844,13,221,54,ORB,2177.5,3237.6,4411.5
12845,13,222,11,ORB,2002.7,3636.4,4347.9
12849,13,226,15,ORB,2018.6,3600.1,4353.7
12850,13,227,66,ORB,2225.1,3128.8,4428.8
12852,13,229,70,ORB,2241.0,3092.6,4434.6
12858,13,236,26,ORB,2041.9,3509.5,4413.2
12861,13,241,33,ORB,2084.6,3437.0,4394.7
12863,13,245,38,ORB,2113.9,3382.6,4388.4
12865,13,247,11,ORB,2002.7,3636.4,4347.9
12866,13,248,93,ORB,2336.3,2875.1,4469.3
12867,13,249,92,ORB,2312.0,2893.2,4511.5
12871,13,253,26,ORB,2041.9,3509.5,4413.2
12872,13,254,23,ORB,2050.4,3527.6,4365.2
12873,13,255,50,ORB,2161.6,3273.9,4405.7
12874,13,256,66,ORB,2225.1,3128.8,4428.8
12875,13,258,19,ORB,2034.5,3563.9,4359.5
12876,13,259,49,ORB,2137.2,3292.0,4447.9
12877,13,262,41,ORB,2105.5,3364.5,4436.4
12878,13,264,25,ORB,2052.9,3509.5,4383.2
12881,13,267,50,ORB,2161.6,3273.9,4405.7
12884,13,270,58,ORB,2193.4,3201.4,4417.3
12885,13,271,50,ORB,2161.6,3273.9,4405.7
12887,13,273,66,ORB,2225.1,3128.8,4428.8
12895,13,282,46,ORB,2145.7,3310.1,4399.9
12896,13,283,84,ORB,2280.2,2965.7,4500.0
12897,13,284,66,ORB,2225.1,3128.8,4428.8
12898,13,285,26,ORB,2041.9,3509.5,4413.2
12901,13,290,35,ORB,2098.1,3418.9,4382.6
12902,13,291,11,ORB,2002.7,3636.4,4347.9
12906,13,295,54,ORB,2177.5,3237.6,4411.5
12912,13,304,7,ORB,1986.9,3672.6,4342.1
12915,13,308,39,ORB,2103.0,3382.6,4418.4
12916,13,309,15,ORB,2018.6,3600.1,4353.7
12921,13,315,38,ORB,2113.9,3382.6,4388.4
12922,13,317,60,ORB,2195.8,3183.2,4435.2
12923,13,319,77,ORB,2272.8,3020.1,4446.2
12924,13,320,40,ORB,2116.4,3364.5,4406.3
12926,13,322,22,ORB,2026.0,3545.8,4407.4
12930,13,327,49,ORB,2137.2,3292.0,4447.9
12933,13,333,66,ORB,2225.1,3128.8,4428.8
12937,13,339,49,ORB,2137.2,3292.0,4447.9
12938,13,340,60,ORB,2195.8,3183.2,4435.2
12942,13,347,54,ORB,2177.5,3237.6,4411.5
12943,13,348,42,ORB,2129.8,3346.4,4394.1
12945,13,350,6,ORB,1962.5,3690.8,4384.3
12947,13,352,26,ORB,2041.9,3509.5,4413.2
12950,13,356,93,ORB,2336.3,2875.1,4469.3
12953,13,361,84,ORB,2280.2,2965.7,4500.0
12956,13,365,23,ORB,2050.4,3527.6,4365.2
12959,13,369,60,ORB,2195.8,3183.2,4435.2
12960,13,370,60,ORB,2195.8,3183.2,4435.2
12962,13,372,54,ORB,2177.5,3237.6,4411.5
12963,13,373,66,ORB,2225.1,3128.8,4428.8
12966,13,377,60,ORB,2195.8,3183.2,4435.2
12967,13,378,47,ORB,2134.8,3310.1,4430.0
12969,13,381,47,ORB,2134.8,3310.1,4430.0
12971,13,386,22,ORB,2026.0,3545.8,4407.4
12972,13,387,60,ORB,2195.8,3183.2,4435.2
12974,13,393,66,ORB,2225.1,3128.8,4428.8
12975,13,394,19,ORB,2034.5,3563.9,4359.5
12976,13,395,65,ORB,2200.8,3147.0,4471.0
12979,13,400,58,ORB,2193.4,3201.4,4417.3
12981,13,403,77,ORB,2272.8,3020.1,4446.2
12982,13,406,13,ORB,2005.2,3618.3,4365.8
12983,13,407,38,ORB,2113.9,3382.6,4388.4
12985,13,409,66,ORB,2225.1,3128.8,4428.8
12987,13,413,69,ORB,2216.7,3110.7,4476.8
12991,13,418,35,ORB,2098.1,3418.9,4382.6
12992,13,419,82,ORB,2277.7,2983.8,4482.0
12994,13,422,50,ORB,2161.6,3273.9,4405.7
12999,13,432,35,ORB,2098.1,3418.9,4382.6
13000,13,433,26,ORB,2041.9,3509.5,4413.2
13004,13,440,12,ORB,1991.8,3636.4,4378.0
13005,13,441,62,ORB,2209.3,3165.1,4423.1
13006,13,447,19,ORB,2034.5,3563.9,4359.5
13010,13,458,31,ORB,2082.2,3455.1,4376.8
13012,13,460,70,ORB,2241.0,3092.6,4434.6
13014,13,462,85,ORB,2304.6,2947.6,4457.7
13015,13,463,19,ORB,2034.5,3563.9,4359.5
13016,13,464,38,ORB,2113.9,3382.6,4388.4
13018,13,469,54,ORB,2177.5,3237.6,4411.5
13021,13,474,11,ORB,2002.7,3636.4,4347.9
13027,13,483,66,ORB,2225.1,3128.8,4428.8
13028,13,484,53,ORB,2153.1,3255.7,4453.7
13033,13,491,31,ORB,2082.2,3455.1,4376.8
13034,13,493,38,ORB,2113.9,3382.6,4388.4
26743,30,571,490,ORB,2586.6,3265.7,5379.5
26745,30,574,526,ORB,2653.4,2911.2,5357.9
26747,30,576,478,ORB,2603.3,3403.6,5430.6
26750,30,579,535,ORB,2654.4,2812.7,5334.3
26752,30,581,472,ORB,2584.6,3462.7,5426.7
26753,30,582,518,ORB,2620.9,2989.9,5345.1
26755,30,584,490,ORB,2586.6,3265.7,5379.5
26757,30,586,553,ORB,2665.2,2635.4,5300.9
26758,30,587,474,ORB,2598.4,3443.0,5435.5
26764,30,593,519,ORB,2643.6,2989.9,5367.7
26765,30,594,526,ORB,2653.4,2911.2,5357.9
26767,30,596,479,ORB,2571.8,3383.9,5394.2
26769,30,598,538,ORB,2668.1,2793.0,5343.2
26770,30,599,508,ORB,2620.0,3088.4,5368.7
26771,30,600,536,ORB,2677.0,2812.7,5356.9
26772,30,601,550,ORB,2682.9,2674.8,5328.4
26773,30,602,537,ORB,2645.5,2793.0,5320.6
26776,30,605,488,ORB,2595.4,3285.4,5393.3
26777,30,606,475,ORB,2566.9,3423.3,5399.1
26779,30,608,547,ORB,2669.1,2694.5,5319.6
26780,30,609,504,ORB,2615.1,3127.8,5373.6
26783,30,612,514,ORB,2616.0,3029.3,5350.0
26784,30,613,513,ORB,2647.5,3049.0,5386.4
26785,30,614,472,ORB,2584.6,3462.7,5426.7
26787,30,616,525,ORB,2630.8,2911.2,5335.3
26791,30,620,550,ORB,2682.9,2674.8,5328.4
26792,30,621,500,ORB,2610.2,3167.2,5378.5
26795,30,624,516,ORB,2629.8,3009.6,5358.9
26799,30,628,523,ORB,2639.6,2930.9,5349.1
26800,30,630,514,ORB,2616.0,3029.3,5350.0
26801,30,631,498,ORB,2596.4,3186.9,5369.7
26802,30,632,479,ORB,2571.8,3383.9,5394.2
26804,30,634,538,ORB,2668.1,2793.0,5343.2
26805,30,635,545,ORB,2655.3,2714.2,5310.7
26810,30,640,478,ORB,2603.3,3403.6,5430.6
26811,30,641,502,ORB,2601.3,3147.5,5364.8
26815,30,645,516,ORB,2629.8,3009.6,5358.9
26816,30,646,547,ORB,2669.1,2694.5,5319.6
26818,30,648,475,ORB,2566.9,3423.3,5399.1
26821,30,651,472,ORB,2584.6,3462.7,5426.7
26823,30,653,550,ORB,2682.9,2674.8,5328.4
26824,30,654,520,ORB,2634.7,2970.3,5354.0
26825,30,655,537,ORB,2645.5,2793.0,5320.6
26826,30,656,516,ORB,2629.8,3009.6,5358.9
26828,30,658,478,ORB,2603.3,3403.6,5430.6
26829,30,660,525,ORB,2630.8,2911.2,5335.3
26830,30,661,535,ORB,2654.4,2812.7,5334.3
26831,30,662,502,ORB,2601.3,3147.5,5364.8
26832,30,663,514,ORB,2616.0,3029.3,5350.0
26833,30,664,514,ORB,2616.0,3029.3,5350.0
26834,30,665,538,ORB,2668.1,2793.0,5343.2
26838,30,669,485,ORB,2613.1,3324.8,5420.8
26843,30,674,502,ORB,2601.3,3147.5,5364.8
26844,30,675,538,ORB,2668.1,2793.0,5343.2
26845,30,676,485,ORB,2613.1,3324.8,5420.8
26847,30,678,538,ORB,2668.1,2793.0,5343.2
26848,30,679,508,ORB,2620.0,3088.4,5368.7
26850,30,681,483,ORB,2576.7,3344.5,5389.3
26851,30,682,487,ORB,2604.3,3305.1,5407.0
26854,30,685,536,ORB,2677.0,2812.7,5356.9
26856,30,687,551,ORB,2674.0,2655.1,5314.7
26858,30,689,536,ORB,2677.0,2812.7,5356.9
26863,30,695,516,ORB,2629.8,3009.6,5358.9
26864,30,696,506,ORB,2606.2,3108.1,5359.8
26866,30,698,488,ORB,2595.4,3285.4,5393.3
26869,30,701,518,ORB,2620.9,2989.9,5345.1
26871,30,703,478,ORB,2603.3,3403.6,5430.6
26874,30,706,475,ORB,2566.9,3423.3,5399.1
26875,30,707,479,ORB,2571.8,3383.9,5394.2
26876,30,708,549,ORB,2660.2,2674.8,5305.8
26878,30,710,513,ORB,2647.5,3049.0,5386.4
26882,30,714,553,ORB,2665.2,2635.4,5300.9
26885,30,717,541,ORB,2650.4,2753.6,5315.6
26888,30,720,523,ORB,2639.6,2930.9,5349.1
26895,30,727,530,ORB,2658.3,2871.8,5353.0
26897,30,729,489,ORB,2618.1,3285.4,5415.9
26900,30,732,516,ORB,2629.8,3009.6,5358.9
26901,30,733,518,ORB,2620.9,2989.9,5345.1
26903,30,735,532,ORB,2672.1,2852.1,5361.9
26904,30,736,490,ORB,2586.6,3265.7,5379.5
26909,30,741,532,ORB,2672.1,2852.1,5361.9
26910,30,742,479,ORB,2571.8,3383.9,5394.2
26914,30,746,529,ORB,2635.7,2871.8,5330.4
26915,30,747,490,ORB,2586.6,3265.7,5379.5
26916,30,748,512,ORB,2624.9,3049.0,5363.8
26919,30,751,485,ORB,2613.1,3324.8,5420.8
26920,30,752,525,ORB,2630.8,2911.2,5335.3
26922,30,754,522,ORB,2625.9,2950.6,5340.2
26925,30,757,541,ORB,2650.4,2753.6,5315.6
26927,30,760,513,ORB,2647.5,3049.0,5386.4
26928,30,761,484,ORB,2599.4,3344.5,5411.9
26931,30,764,485,ORB,2613.1,3324.8,5420.8
26933,30,766,522,ORB,2625.9,2950.6,5340.2
26936,30,769,549,ORB,2660.2,2674.8,5305.8
26939,30,772,516,ORB,2629.8,3009.6,5358.9
26942,30,775,484,ORB,2599.4,3344.5,5411.9
26944,30,777,479,ORB,2571.8,3383.9,5394.2
26948,30,781,528,ORB,2667.2,2891.5,5366.8
26949,30,782,522,ORB,2625.9,2950.6,5340.2
26957,30,790,547,ORB,2669.1,2694.5,5319.6
26958,30,791,508,ORB,2620.0,3088.4,5368.7
26960,30,793,532,ORB,2672.1,2852.1,5361.9
26961,30,794,514,ORB,2616.0,3029.3,5350.0
26962,30,795,526,ORB,2653.4,2911.2,5357.9
26963,30,796,477,ORB,2580.7,3403.6,5408.0
26965,30,798,523,ORB,2639.6,2930.9,5349.1
26966,30,799,497,ORB,2627.9,3206.6,5406.1
26968,30,801,547,ORB,2669.1,2694.5,5319.6
26970,30,803,545,ORB,2655.3,2714.2,5310.7
26971,30,804,549,ORB,2660.2,2674.8,5305.8
26973,30,806,550,ORB,2682.9,2674.8,5328.4
26978,30,811,549,ORB,2660.2,2674.8,5305.8
26982,30,815,505,ORB,2637.7,3127.8,5396.2
26983,30,816,487,ORB,2604.3,3305.1,5407.0
26984,30,817,513,ORB,2647.5,3049.0,5386.4
26985,30,818,506,ORB,2606.2,3108.1,5359.8
26986,30,819,514,ORB,2616.0,3029.3,5350.0
26987,30,820,501,ORB,2632.8,3167.2,5401.2
26989,30,822,477,ORB,2580.7,3403.6,5408.0
26990,30,823,527,ORB,2644.5,2891.5,5344.1
26991,30,824,523,ORB,2639.6,2930.9,5349.1
26992,30,825,488,ORB,2595.4,3285.4,5393.3
26993,30,827,547,ORB,2669.1,2694.5,5319.6
26994,30,828,540,ORB,2681.9,2773.3,5352.0
26998,30,832,519,ORB,2643.6,2989.9,5367.7
26999,30,833,518,ORB,2620.9,2989.9,5345.1
27000,30,834,485,ORB,2613.1,3324.8,5420.8
27006,30,840,553,ORB,2665.2,2635.4,5300.9
27007,30,841,541,ORB,2650.4,2753.6,5315.6
27009,30,843,482,ORB,2608.2,3364.2,5425.7
27010,30,844,525,ORB,2630.8,2911.2,5335.3
27012,30,846,508,ORB,2620.0,3088.4,5368.7
27015,30,849,475,ORB,2566.9,3423.3,5399.1
27016,30,850,513,ORB,2647.5,3049.0,5386.4
27021,30,856,518,ORB,2620.9,2989.9,5345.1
27022,30,857,525,ORB,2630.8,2911.2,5335.3
27029,30,864,495,ORB,2614.1,3226.3,5397.2
27031,30,866,540,ORB,2681.9,2773.3,5352.0
27032,30,867,513,ORB,2647.5,3049.0,5386.4
27033,30,868,551,ORB,2674.0,2655.1,5314.7
27034,30,869,526,ORB,2653.4,2911.2,5357.9
27035,30,870,510,ORB,2611.1,3068.7,5354.9
27038,30,873,508,ORB,2620.0,3088.4,5368.7
27040,30,875,472,ORB,2584.6,3462.7,5426.7
27042,30,877,474,ORB,2598.4,3443.0,5435.5
