,Session,Cluster,Peak Channel,Brain Region,A/P,D/V,L/R
4963,4,992,961,PL,3132.9,2778.2,5701.1
5012,4,1064,972,PL,3168.7,2669.5,5665.2
5053,4,1121,968,PL,3134.1,2705.7,5654.6
5062,4,1134,978,PL,3175.3,2615.1,5636.0
5077,4,1161,997,PL,3212.5,2433.8,5553.6
5104,4,1204,978,PL,3175.3,2615.1,5636.0
5106,4,1206,953,PL,3108.9,2850.7,5725.0
5109,4,1214,972,PL,3168.7,2669.5,5665.2
5115,4,1223,974,PL,3163.4,2651.3,5647.9
5149,4,1290,995,PL,3217.8,2451.9,5570.9
5158,4,1308,972,PL,3168.7,2669.5,5665.2
5164,4,1321,978,PL,3175.3,2615.1,5636.0
5219,4,1467,972,PL,3168.7,2669.5,5665.2
5222,4,1470,958,PL,3092.9,2796.3,5673.1
7032,7,13,258,PL,3003.0,2567.0,5124.9
7039,7,26,263,PL,2985.3,2514.7,5096.5
7043,7,31,296,PL,2816.8,2218.2,5056.1
7050,7,38,289,PL,2866.6,2288.0,5047.6
7055,7,44,259,PL,3002.3,2549.5,5106.2
7056,7,45,260,PL,2970.1,2532.1,5143.1
7058,7,48,275,PL,2934.2,2410.0,5067.5
7059,7,49,263,PL,2985.3,2514.7,5096.5
7066,7,57,227,PL,3122.9,2828.5,5211.3
7071,7,63,232,PL,3121.6,2793.7,5173.8
7074,7,67,236,PL,3104.6,2758.8,5164.1
7075,7,68,259,PL,3002.3,2549.5,5106.2
7076,7,69,250,PL,3037.0,2636.7,5144.2
7083,7,77,241,PL,3055.4,2706.5,5191.4
7084,7,78,217,PL,3189.8,2933.2,5212.4
7090,7,89,272,PL,2919.0,2427.5,5114.1
7094,7,98,217,PL,3189.8,2933.2,5212.4
7095,7,99,298,PL,2831.9,2200.8,5009.5
7098,7,102,244,PL,3070.5,2689.0,5144.8
7099,7,103,284,PL,2867.9,2322.9,5085.1
7102,7,107,218,PL,3157.6,2915.7,5249.4
7105,7,110,222,PL,3140.6,2880.9,5239.7
7107,7,112,225,PL,3123.5,2846.0,5230.0
7111,7,117,255,PL,3003.6,2584.4,5143.7
7114,7,120,224,PL,3155.7,2863.4,5193.1
7115,7,122,295,PL,2849.0,2235.7,5019.2
7116,7,123,272,PL,2919.0,2427.5,5114.1
7121,7,129,244,PL,3070.5,2689.0,5144.8
7126,7,134,225,PL,3123.5,2846.0,5230.0
7127,7,135,265,PL,2968.9,2497.2,5105.6
7128,7,136,228,PL,3138.7,2828.5,5183.4
7130,7,138,247,PL,3037.7,2654.2,5163.0
7131,7,139,271,PL,2951.2,2444.9,5077.2
7132,7,140,225,PL,3123.5,2846.0,5230.0
7133,7,141,295,PL,2849.0,2235.7,5019.2
7136,7,144,263,PL,2985.3,2514.7,5096.5
7140,7,149,230,PL,3122.3,2811.1,5192.5
7142,7,151,218,PL,3157.6,2915.7,5249.4
7144,7,154,227,PL,3122.9,2828.5,5211.3
7146,7,156,233,PL,3089.4,2776.2,5210.7
7147,7,157,300,PL,2815.5,2183.4,5018.6
7150,7,161,240,PL,3087.5,2723.9,5154.5
7154,7,167,267,PL,2968.2,2479.8,5086.8
7162,7,182,296,PL,2816.8,2218.2,5056.1
7164,7,184,223,PL,3139.9,2863.4,5220.9
7170,7,191,226,PL,3139.3,2846.0,5202.2
7172,7,193,223,PL,3139.9,2863.4,5220.9
7175,7,196,245,PL,3038.3,2671.6,5181.7
7181,7,204,295,PL,2849.0,2235.7,5019.2
7186,7,213,213,PL,3206.8,2968.0,5222.1
7188,7,216,245,PL,3038.3,2671.6,5181.7
7191,7,222,259,PL,3002.3,2549.5,5106.2
7192,7,224,248,PL,3053.5,2654.2,5135.1
7199,7,231,217,PL,3189.8,2933.2,5212.4
7200,7,232,217,PL,3189.8,2933.2,5212.4
7202,7,235,234,PL,3105.2,2776.2,5182.9
7203,7,236,267,PL,2968.2,2479.8,5086.8
7205,7,238,262,PL,2969.5,2514.7,5124.3
7206,7,239,215,PL,3190.4,2950.6,5231.2
7208,7,243,252,PL,3036.4,2619.3,5125.5
7209,7,244,232,PL,3121.6,2793.7,5173.8
7211,7,247,221,PL,3172.8,2898.3,5202.8
7217,7,253,259,PL,3002.3,2549.5,5106.2
7221,7,257,298,PL,2831.9,2200.8,5009.5
7225,7,262,288,PL,2850.8,2288.0,5075.5
7226,7,263,268,PL,2936.1,2462.4,5123.8
7234,7,271,293,PL,2849.6,2253.1,5038.0
7242,7,281,270,PL,2935.4,2444.9,5105.0
7244,7,284,246,PL,3054.1,2671.6,5153.9
7245,7,285,222,PL,3140.6,2880.9,5239.7
7252,7,294,224,PL,3155.7,2863.4,5193.1
7254,7,296,298,PL,2831.9,2200.8,5009.5
7256,7,298,263,PL,2985.3,2514.7,5096.5
7261,7,303,298,PL,2831.9,2200.8,5009.5
7262,7,304,247,PL,3037.7,2654.2,5163.0
7265,7,307,243,PL,3054.7,2689.0,5172.6
7269,7,312,248,PL,3053.5,2654.2,5135.1
7271,7,314,240,PL,3087.5,2723.9,5154.5
7273,7,320,299,PL,2799.7,2183.4,5046.5
7276,7,329,224,PL,3155.7,2863.4,5193.1
7286,7,340,267,PL,2968.2,2479.8,5086.8
7295,7,351,295,PL,2849.0,2235.7,5019.2
7301,7,359,211,PL,3207.5,2985.5,5240.8
7308,7,369,244,PL,3070.5,2689.0,5144.8
7312,7,375,220,PL,3157.0,2898.3,5230.6
7320,7,384,217,PL,3189.8,2933.2,5212.4
7324,7,392,258,PL,3003.0,2567.0,5124.9
7329,7,397,273,PL,2934.8,2427.5,5086.3
7331,7,399,224,PL,3155.7,2863.4,5193.1
7332,7,400,259,PL,3002.3,2549.5,5106.2
7334,7,404,292,PL,2833.8,2253.1,5065.8
7336,7,407,226,PL,3139.3,2846.0,5202.2
7341,7,415,282,PL,2884.3,2340.3,5076.0
7343,7,417,249,PL,3021.3,2636.7,5172.1
7349,7,426,234,PL,3105.2,2776.2,5182.9
7356,7,436,230,PL,3122.3,2811.1,5192.5
7359,7,439,240,PL,3087.5,2723.9,5154.5
7363,7,445,240,PL,3087.5,2723.9,5154.5
7366,7,448,263,PL,2985.3,2514.7,5096.5
7371,7,453,258,PL,3003.0,2567.0,5124.9
7379,7,466,246,PL,3054.1,2671.6,5153.9
7381,7,468,275,PL,2934.2,2410.0,5067.5
7383,7,470,242,PL,3071.1,2706.5,5163.6
7388,7,476,279,PL,2917.1,2375.2,5057.9
7389,7,477,295,PL,2849.0,2235.7,5019.2
7390,7,478,295,PL,2849.0,2235.7,5019.2
7400,7,489,299,PL,2799.7,2183.4,5046.5
7402,7,491,232,PL,3121.6,2793.7,5173.8
7404,7,493,264,PL,2953.1,2497.2,5133.4
7406,7,495,223,PL,3139.9,2863.4,5220.9
7408,7,497,283,PL,2900.1,2340.3,5048.2
7410,7,499,258,PL,3003.0,2567.0,5124.9
7413,7,502,231,PL,3105.8,2793.7,5201.6
7418,7,507,300,PL,2815.5,2183.4,5018.6
7419,7,508,243,PL,3054.7,2689.0,5172.6
7424,7,513,228,PL,3138.7,2828.5,5183.4
7425,7,514,277,PL,2917.8,2392.6,5076.6
7426,7,515,236,PL,3104.6,2758.8,5164.1
7433,7,522,217,PL,3189.8,2933.2,5212.4
7434,7,523,250,PL,3037.0,2636.7,5144.2
7441,7,530,267,PL,2968.2,2479.8,5086.8
7442,7,531,213,PL,3206.8,2968.0,5222.1
7443,7,532,289,PL,2866.6,2288.0,5047.6
7444,7,533,258,PL,3003.0,2567.0,5124.9
7445,7,534,263,PL,2985.3,2514.7,5096.5
7446,7,535,228,PL,3138.7,2828.5,5183.4
7447,7,536,293,PL,2849.6,2253.1,5038.0
7450,7,539,240,PL,3087.5,2723.9,5154.5
7454,7,543,253,PL,3004.2,2601.9,5162.4
7456,7,545,268,PL,2936.1,2462.4,5123.8
7458,7,547,287,PL,2883.0,2305.4,5038.5
7459,7,548,292,PL,2833.8,2253.1,5065.8
7461,7,550,294,PL,2833.2,2235.7,5047.0
7465,7,554,289,PL,2866.6,2288.0,5047.6
7467,7,556,213,PL,3206.8,2968.0,5222.1
7468,7,557,293,PL,2849.6,2253.1,5038.0
7476,7,565,298,PL,2831.9,2200.8,5009.5
7477,7,566,277,PL,2917.8,2392.6,5076.6
7486,7,575,279,PL,2917.1,2375.2,5057.9
7487,7,576,221,PL,3172.8,2898.3,5202.8
7489,7,578,266,PL,2952.5,2479.8,5114.7
7491,7,580,213,PL,3206.8,2968.0,5222.1
7492,7,581,300,PL,2815.5,2183.4,5018.6
7494,7,583,242,PL,3071.1,2706.5,5163.6
8184,8,7,347,PL,2388.1,2263.1,5261.2
8185,8,8,283,PL,2654.7,2849.2,5407.2
8192,8,19,341,PL,2420.0,2316.4,5262.1
8193,8,20,337,PL,2435.6,2351.9,5271.8
8196,8,23,331,PL,2433.9,2405.2,5327.1
8200,8,34,283,PL,2654.7,2849.2,5407.2
8213,8,64,283,PL,2654.7,2849.2,5407.2
8232,8,100,306,PL,2560.8,2636.1,5349.2
8235,8,113,291,PL,2623.4,2778.1,5387.8
8236,8,114,327,PL,2449.5,2440.7,5336.8
8244,8,130,332,PL,2450.7,2405.2,5299.9
8255,8,150,341,PL,2420.0,2316.4,5262.1
8266,8,177,306,PL,2560.8,2636.1,5349.2
8289,8,231,291,PL,2623.4,2778.1,5387.8
8302,8,256,299,PL,2559.1,2689.3,5404.5
8304,8,260,287,PL,2639.1,2813.7,5397.5
8306,8,265,302,PL,2576.5,2671.6,5358.8
8309,8,273,327,PL,2449.5,2440.7,5336.8
8322,8,303,317,PL,2497.1,2529.5,5347.4
8323,8,304,329,PL,2450.1,2422.9,5318.3
8326,8,307,326,PL,2482.6,2458.5,5300.8
8338,8,328,310,PL,2545.2,2600.5,5339.5
8339,8,329,326,PL,2482.6,2458.5,5300.8
8345,8,339,318,PL,2513.9,2529.5,5320.1
8347,8,344,287,PL,2639.1,2813.7,5397.5
8348,8,349,286,PL,2622.2,2813.7,5424.7
8351,8,357,331,PL,2433.9,2405.2,5327.1
8355,8,365,305,PL,2544.0,2636.1,5376.4
8374,8,437,310,PL,2545.2,2600.5,5339.5
8383,8,447,291,PL,2623.4,2778.1,5387.8
8386,8,450,290,PL,2606.6,2778.1,5415.1
8388,8,452,306,PL,2560.8,2636.1,5349.2
8393,8,457,297,PL,2575.3,2707.1,5395.7
8395,8,459,298,PL,2592.1,2707.1,5368.5
8403,8,467,295,PL,2607.8,2742.6,5378.2
8405,8,469,328,PL,2466.3,2440.7,5309.6
8406,8,470,291,PL,2623.4,2778.1,5387.8
8414,8,478,343,PL,2403.7,2298.6,5270.9
8416,8,480,302,PL,2576.5,2671.6,5358.8
8422,8,486,335,PL,2435.0,2369.7,5290.2
8423,8,487,330,PL,2466.9,2422.9,5291.1
8424,8,488,330,PL,2466.9,2422.9,5291.1
8425,8,489,326,PL,2482.6,2458.5,5300.8
8426,8,490,321,PL,2481.4,2494.0,5337.7
8427,8,491,322,PL,2498.2,2494.0,5310.5
8428,8,492,315,PL,2496.5,2547.3,5365.8
8429,8,493,313,PL,2512.7,2565.0,5357.0
8430,8,494,312,PL,2528.9,2582.8,5348.3
8431,8,495,311,PL,2512.1,2582.8,5375.5
8432,8,496,287,PL,2639.1,2813.7,5397.5
11220,11,421,584,PL,3183.2,3224.1,5517.1
11222,11,424,586,PL,3190.8,3204.8,5502.1
11224,11,428,587,PL,3213.5,3204.8,5479.5
11226,11,433,579,PL,3228.1,3282.1,5494.2
11232,11,442,577,PL,3220.4,3301.4,5509.1
11235,11,446,575,PL,3235.4,3320.7,5501.5
11236,11,448,650,PL,3058.7,2567.3,5392.7
11237,11,449,648,PL,3073.7,2586.6,5385.0
11243,11,456,645,PL,3103.6,2625.2,5369.7
11244,11,457,633,PL,3125.6,2741.2,5391.7
11245,11,458,587,PL,3213.5,3204.8,5479.5
11247,11,460,571,PL,3242.7,3359.3,5508.8
11248,11,461,638,PL,3080.7,2683.2,5414.6
11249,11,463,568,PL,3212.5,3378.7,5546.4
11251,11,466,568,PL,3212.5,3378.7,5546.4
11255,11,475,622,PL,3147.6,2857.1,5413.6
11260,11,484,595,PL,3198.8,3127.5,5464.9
11262,11,487,650,PL,3058.7,2567.3,5392.7
11263,11,488,645,PL,3103.6,2625.2,5369.7
11264,11,490,631,PL,3095.3,2760.5,5429.3
11268,11,495,626,PL,3140.2,2818.4,5406.3
11269,11,496,557,PL,3234.4,3494.6,5568.4
11270,11,497,595,PL,3198.8,3127.5,5464.9
11271,11,500,626,PL,3140.2,2818.4,5406.3
11274,11,505,572,PL,3205.1,3340.0,5539.1
11275,11,506,641,PL,3111.0,2663.9,5377.0
11278,11,519,582,PL,3198.1,3243.4,5509.5
11282,11,529,596,PL,3161.2,3108.2,5495.1
11288,11,540,557,PL,3234.4,3494.6,5568.4
11297,11,566,652,PL,3066.4,2548.0,5377.7
11298,11,571,572,PL,3205.1,3340.0,5539.1
11299,11,573,650,PL,3058.7,2567.3,5392.7
11303,11,582,572,PL,3205.1,3340.0,5539.1
11306,11,593,649,PL,3096.3,2586.6,5362.4
11313,11,618,572,PL,3205.1,3340.0,5539.1
11324,11,647,644,PL,3081.0,2625.2,5392.3
11330,11,666,557,PL,3234.4,3494.6,5568.4
11331,11,672,559,PL,3264.7,3475.3,5530.8
11332,11,675,545,PL,3256.4,3610.5,5590.3
11333,11,678,651,PL,3081.3,2567.3,5370.0
11341,11,700,639,PL,3103.3,2683.2,5392.0
11349,11,711,557,PL,3234.4,3494.6,5568.4
11370,11,732,653,PL,3089.0,2548.0,5355.1
11371,11,733,573,PL,3227.8,3340.0,5516.4
11374,11,736,615,PL,3124.6,2915.0,5458.5
11378,11,740,635,PL,3110.6,2721.8,5399.3
11379,11,741,627,PL,3102.6,2799.1,5436.6
11382,11,744,553,PL,3241.7,3533.2,5575.7
11383,11,745,650,PL,3058.7,2567.3,5392.7
11384,11,746,642,PL,3073.4,2644.6,5407.3
11386,11,748,632,PL,3118.0,2760.5,5406.6
11387,11,749,642,PL,3073.4,2644.6,5407.3
11393,11,755,642,PL,3073.4,2644.6,5407.3
11394,11,756,646,PL,3066.0,2605.9,5400.0
11396,11,758,595,PL,3198.8,3127.5,5464.9
11397,11,759,648,PL,3073.7,2586.6,5385.0
12194,12,601,1004,PL,3132.9,2699.8,5099.0
12195,12,603,930,PL,3272.0,3433.9,5238.1
12196,12,604,993,PL,3117.3,2796.4,5151.2
12198,12,607,910,PL,3308.6,3627.1,5274.7
12200,12,611,967,PL,3191.2,3066.8,5179.8
12201,12,612,1007,PL,3125.6,2661.2,5091.7
